height,voltage,reflectance,ssa,optical radius
305,1.534,51.35,55.17,0.05931862006145053
292,1.3070000000000002,40.71,30.34,0.10786447820666531
280,1.243,38.46,26.84,0.12193026336774312
271,1.3223333333333331,41.29,31.32,0.10448940832663556
265,1.3093333333333335,40.79,30.48,0.10736903768996803
260,1.2253333333333334,37.88,26.01,0.12582115604729818
255,1.0593333333333332,33.14,20.09,0.16289737525088233
245,1.1803333333333335,36.49,24.11,0.13573655200291274
239,1.1543333333333334,35.73,23.14,0.14142645932542028
230,1.1853333333333333,36.64,24.31,0.134619838288368
220,1.1733333333333333,36.28,23.84,0.1372738367781135
210,1.026,32.28,19.17,0.17071508966041862
200,0.9349999999999999,30.0,16.91,0.19353094434004883
190,1.1046666666666667,34.34,21.45,0.1525691500601504
180,1.0233333333333334,32.21,19.1,0.17134074705707988
170,0.9383333333333335,30.08,16.98,0.19273311359188608
160,1.0270000000000001,32.31,19.2,0.17044834733282427
150,1.0153333333333334,32.01,18.89,0.17324554096295533
140,0.9883333333333333,31.33,18.19,0.1799124941610899
130,0.9189999999999999,29.6,16.54,0.19786023390509225
120,0.968,30.82,17.69,0.18499764097174817
110,0.9223333333333333,29.68,16.61,0.19702638583926704
100,0.9483333333333333,30.33,17.22,0.19004693779269605
90,0.8296666666666667,27.3,14.54,0.2250762220626015
80,0.793,26.31,13.75,0.2380078740938346
70,0.874,28.46,15.52,0.210863934844731
60,0.7996666666666666,26.49,13.89,0.23560894663716525
50,0.7293333333333333,24.47,12.37,0.26456008640179673
40,0.7283333333333334,24.44,12.35,0.26498852378868226
30,0.6463333333333333,21.78,10.55,0.31019983590428674
20,0.6783333333333333,22.86,11.25,0.29089851278135337
10,0.7146666666666667,24.02,12.05,0.2715857484473216
